GrowerNumber,GrowerName,Pool,Status,RedirectToGrowerNumber
5700,P&G-Deeded - Birdcage,GJ,Active,
5710,Big Granny,GO,Active,
5720,Airport/Fert Tank,GQ,Active,
5730,Horace Smith,GS,Active,
5740,Mckie Area,GU,Active,
5750,Mac & Cass-Gamble,GV,Active,
5760,P&G-Deeded - 80,GX,Active,
5770,Sand Dunes,GY,Active,
5780,The John's Farm - TJF Lower,JT,Active,
5790,Bisbee Area,GZ,Active,
5800,JN,BU,Active,
5810,CH - South Deer Farm,CD,Active,
5820,Brwstr Hghts Pckg - Crazy-North Tradup,BC,Active,
5830,Repo - Deer Farm,RD,Active,
5840,Escure Estate,EE,Active,
5850,Shaun's Lease,SL,Active,
5860,HINGER,WK,Active,
5870,Robinson Lease,VE,Active,
5880,WAKEFIELD,HI,Active,
5890,GRENOVELD,RL,Active,
5900,Heath & Beacon,HB,Active,
5910,COMSAT - FLAT 40,CF,Active,
5920,COMSAT - ROLLING HILLS,CM,Active,
5930,COMSAT - NORTH COMSAT,CN,Active,
5940,COMSAT-SOUTH COMSAT,CS,Active,
5950,CRAZY - BELOW ROAD,CZ,Active,
5960,CRAZY - OLD FILL,CY,Active,
5970,CRAZY - SOUTH LAGOON,LN,Active,
5980,CRAZY - EAST LAGOON,EN,Active,
6000,Leave Open for WP Use,,Active,
6100,McDonald Farm,MF,Active,
6110,Valley View Farm,VV,Active,
6120,Schneider Orchard,SN,Active,
6130,Gallardo's Orchard,GE,Active,
6140,Dion Farms,DF,Active,
6150,Rafael Calderas,RC,Active,
6160,Alfredo Orchard,AL,Active,
6170,Ochoa Farms,OF,Active,
6180,Miguel & Julie Alvarez Orchard,AV,Active,
6190,D&A Zuniga Orchards,ZD,Active,
6200,Barajas-Pimentel Orchards,PO,Active,
6210,Strand Apples-Hayes Ranch,S1,Active,
6215,Strand Apples-Tuttle RBM,S8,Active,
6220,Strand Apples-Reprieve,S6,Active,
6225,Strand Apples-Strauss Lease,S9,Active,
6230,Strand Apples-Lazy H,S3,Active,
6235,STRAND APPLES-LINSE BO,A1,Active,
6240,Strand Apples-3M,S4,Active,
6245,Strand Apples-Strain SBL,A2,Active,
6250,Strand Apples-Ellingson,S5,Active,
6260,Fuller Orchards,D1,Active,
6270,Strand Apples-Harrison,S7,Active,
6280,Martin Casto Riverside Orchard,M2,Active,
6666,,,Inactive,
8888,E BROWN & SONS - COSOLD,EC,Active,
8999,EBS HOUSE LOT,EH,Active,
9010,KUULEI ORCHARD,SK,Active,
9020,ROLOFF FARMS - GRANDAD,SG,Active,
9030,ROLOFF FARMS - WEIS,R6,Active,
9040,DL & JJ FARMS - CLARENCE,DQ,Active,
9050,DL & JJ FARMS - SUNNY,DW,Active,
9060,RODIGHIERO ORCHARDS,R7,Active,
9070,RODIGHIERO ORCHARDS - KELLY PLACE,R8,Active,
9080,MFR - M&D FARMS-CHUCKHOLE,MD,Active,
9090,A WIES FARMS,AW,Active,
9100,DL & JJ FARMS - HOME,DE,Active,
9110,RIVER ROCK GROWERS,R9,Active,
9120,DANA DIBBLE,DT,Active,
9130,MFR - FUJI ORCHARDS,FH,Active,
9140,"EMPEY ORCHARDS, INC.",EO,Active,
9150,LAZY E ORCHARD,LZ,Active,
9160,SAMS APPLES - WILSON,LQ,Active,
9170,KENT MCKAY,KE,Active,
9180,MFR - GIBBONS/SAMS PL,GB,Active,
9190,Sam's Apples Timmons,ST,Active,
9200,DL & JJ FARMS,DY,Active,
9210,NW COUNTRY MERCANTILE,NW,Active,
9220,DL & JJ FARMS - FRY,DU,Active,
9230,SAM LEFORE FARMS - STILES,SF,Active,
9240,JACK GREEN,JC,Active,
9250,ROLOFF FAMRS - GREEN,OQ,Active,
9260,ROLOFF FARMS - HOLADAY,OW,Active,
9270,DL & JJ FARMS - WONDRA,WD,Active,
9275,DL & JJ FARMS - HURLY,DH,Active,
9280,DL & JJ FARMS - GIBBON,WB,Active,
9285,DL & JJ FARMS - GRANT,DG,Active,
9290,DL & JJ FARMS - TRUMBULL,WT,Active,
9300,DL & JJ FARMS - BRINKER,WR,Active,
9310,MFR - BEVERLY SAMS HOME PLACE,BS,Active,
9320,ROLOFF FARMS - VALE,VL,Active,
9330,W&H - L&E FLP,LE,Active,
9331,W&H L&E AZTEC,LA,Active,
9340,MFR - RUIZ/SLUSARENKO,BK,Active,
9350,ROLOFF FARMS - NAGLE,RN,Active,
9360,MFR - GARY PETERSON,GP,Active,
9370,MFR - POTTER/BRADFIELD,BT,Active,
9380,ROLOFF FARMS - GERRI,RO,Active,
9390,MFR - HOOKER PL,BO,Active,
9395,MFR-TRUMBULL WILDFIRE,TW,Active,
9400,MFR - STEPHENS PL,BP,Active,
9405,SAMS APPLES,PS,Active,
9406,SAM'S APPLES,P9,Active,
9410,MFR - FEIGNER PL/FUJI - West,BF,Active,
9411,MFR - FEIGNER PL/FUJI - EAST,BI,Active,
9415,MFR - Roloff Premier,PR,Active,
9420,MFR - RUIZ PLACE,BZ,Active,
9430,MFR - BIXBY PL,BX,Active,
9440,MFR - FEIGNER/REDS,BG,Active,
9450,MFR - REESE HWY BLK 1,BN,Active,
9451,MFR - REESE HWY BLK 2,B4,Active,
9455,MFR - Leibbrand,LR,Active,
9460,Sam's Apples Crockett,SC,Active,
9470,MFR - SASSER,SS,Active,
9480,W&H - JOHN G PESCIALLO,JP,Active,
9490,DENNIS BURKS - PESCIALLO,DP,Active,
9500,W&H - PESCIALLO 20A,PB,Active,
9510,MFR - TASH & BROWN,TB,Active,
9520,W&H - MCCLELLAN FLLC - DRIP,MR,Active,
9530,W&H - MCCLELLAN FLLC YOUNG,MB,Active,
9540,MFR - L&E JOHNSON,LI,Active,
9550,MFR - BROWN HOME PL,BH,Active,
9560,MFR - DOUGHERTY,DO,Active,
9570,MFR - NORRIS,NB,Active,
9580,KUULEI ORCHARDS - M1,M1,Active,
9590,TURBYNE & BROWN,TU,Active,
9600,MFR - AICHELE,AB,Active,
9610,NARRY & BROWN,NA,Active,
9620,MFR - MURPHY PL,MU,Active,
9630,CAMPBELL & BROWN,CB,Active,
9636,,,Inactive,
9640,DL & JJ FARMS,JQ,Active,
9650,MFR - KEN ARNZEN,KA,Active,
9660,MFR - SONBAY,SO,Active,
9670,W&H - J L WAL FM LLC -BARRETT,JW,Active,
9680,MFR - JWO INC -WINESAP,JI,Active,
9690,MFR - J JACKSON HOME,JB,Active,
9700,MFR - JWO INC - STEVENS,JN,Active,
9710,KUULEI ORCHARDS - BRINKER,KB,Active,
9720,MFR - DON SLUSARENKO,DB,Active,
9730,DL & JJ FARMS - KLEPPER,JK,Active,
9740,MORRIS ORCHARD,MO,Active,
9750,MFR - REESE-YELLOWJACK,BJ,Active,
9760,MORRIS ORCHARDS - WIES,MW,Active,
9770,ROLOFF FARMS - UMAPINE,UM,Active,
9780,MORRIS ORCHARDS - CHINN,CH,Active,
9790,MORISS ORCHARDS - CARPER,CE,Active,
9800,MORRIS ORCHARDS - HUMBERT,HM,Active,
9810,ROLOFF FARMS - MERLIN,MY,Active,
9820,MFR - SHELTON PL,JS,Active,
9830,MORRIS ORCHARD,MP,Active,
9840,ROLOFF FARM,FM,Active,
9850,MFR - GIBBONS,JG,Active,
9860,MALCOLM MILLAR - DAD,MK,Active,
9870,MFR - ROTHROCK,RB,Active,
9880,MFR - DUFF 2019 AMBR,D9,Active,
9890,DON ARNZEN,DZ,Active,
9900,BULLOCK FARMS - MACKEY,LM,Active,
9910,MALCOLM MILLAR - 6ACRE,6A,Active,
9920,JACK RUTHVEN,JR,Active,
9930,MFR - BAKER,BB,Active,
9940,DL & JJ FARMS -,JY,Active,
9950,HARSHFIELD FARMS,HR,Active,
9960,HARSHFIELD FARMS,HC,Active,
9970,ROLOFF FARMS - BASCOM,OB,Active,
9980,MFR-ROLOFF PREMIER 2019,OS,Active,
9990,Rodighiero Orch - Brumbach,SR,Active,
