adjustment_id,room_id,room,receipt_id,receipt_number,receipt_received_utc,receipt_received_pacific,receipt_crop_year,receipt_is_test,receipt_is_deleted,adjustment_grower_lot_id,grower,grower_lot,FruitProfileId,variety,IsOrganic,adjustment_crop_year,quantity,OldBinCount,NewBinCount,transaction_type,Source,Reason,Notes,RoomDepletionId,depletion_receipt_id,BinCountDepleted,DepletedAt,IsVoided,RoomTransferId,ActualRunId,ActualRunRevisionId,bins_run_links,AdjustmentAt,adjustment_pacific,CreatedAt,CreatedByUserId,InventoryInvariantVersion,InventoryOperationKey,boundary_receipt_id,boundary_utc,boundary_pacific,before_boundary
72,32,BM-6,,,,,,,,130,GA Orchard,1560,4,GSMT,f,,-183,183,0,BinsRun,Bins Run,BinsRun,Room Cleared,,,,,,,,,19:183:2026-07-23 22:40:00+00:f:,2026-07-23 22:40:00+00,2026-07-23 15:40:00,2026-07-23 15:40:59.045735+00,2,0,,99,2026-07-28 15:36:00+00,2026-07-28 08:36:00,t
49,32,BM-6,,,,,,,,16,BENCH ORCHARD NON-CHILEAN,3200,4,GSMT,f,2025,3,,3,StartingInventoryImport,Current Inventory Baseline,Current Inventory Baseline,Current inventory baseline imported from Current Inventory Baseline; Crop year 2025; status -; Crop QC room BM-6; Compu-Tech room Blueca06; mapped to master room BM-6.,,,,,,,,,18:3:2026-07-23 22:40:00+00:f:,2026-06-18 00:00:00+00,2026-06-17 17:00:00,2026-06-19 04:16:37.582604+00,1,0,,99,2026-07-28 15:36:00+00,2026-07-28 08:36:00,t
71,32,BM-6,,,,,,,,16,BENCH ORCHARD NON-CHILEAN,3200,4,GSMT,f,,-3,3,0,BinsRun,Bins Run,BinsRun,Room Cleared,,,,,,,,,18:3:2026-07-23 22:40:00+00:f:,2026-07-23 22:40:00+00,2026-07-23 15:40:00,2026-07-23 15:40:52.217279+00,2,0,,99,2026-07-28 15:36:00+00,2026-07-28 08:36:00,t
50,32,BM-6,,,,,,,,242,MFR - REESE HWY BLK 1,9450,4,GSMT,f,2025,26,,26,StartingInventoryImport,Current Inventory Baseline,Current Inventory Baseline,Current inventory baseline imported from Current Inventory Baseline; Crop year 2025; status -; Crop QC room BM-6; Compu-Tech room Blueca06; mapped to master room BM-6.,,,,,,,,,20:26:2026-07-23 22:40:00+00:f:,2026-06-18 00:00:00+00,2026-06-17 17:00:00,2026-06-19 04:16:37.582604+00,1,0,,99,2026-07-28 15:36:00+00,2026-07-28 08:36:00,t
73,32,BM-6,,,,,,,,242,MFR - REESE HWY BLK 1,9450,4,GSMT,f,,-26,26,0,BinsRun,Bins Run,BinsRun,Room Cleared,,,,,,,,,20:26:2026-07-23 22:40:00+00:f:,2026-07-23 22:40:00+00,2026-07-23 15:40:00,2026-07-23 15:41:05.965738+00,2,0,,99,2026-07-28 15:36:00+00,2026-07-28 08:36:00,t
51,32,BM-6,,,,,,,,244,MFR - REESE-YELLOWJACK,9750,4,GSMT,f,2025,21,,21,StartingInventoryImport,Current Inventory Baseline,Current Inventory Baseline,Current inventory baseline imported from Current Inventory Baseline; Crop year 2025; status -; Crop QC room BM-6; Compu-Tech room Blueca06; mapped to master room BM-6.,,,,,,,,,21:21:2026-07-23 22:41:00+00:f:,2026-06-18 00:00:00+00,2026-06-17 17:00:00,2026-06-19 04:16:37.582604+00,1,0,,99,2026-07-28 15:36:00+00,2026-07-28 08:36:00,t
74,32,BM-6,,,,,,,,244,MFR - REESE-YELLOWJACK,9750,4,GSMT,f,,-21,21,0,BinsRun,Bins Run,BinsRun,Room Cleared,,,,,,,,,21:21:2026-07-23 22:41:00+00:f:,2026-07-23 22:41:00+00,2026-07-23 15:41:00,2026-07-23 15:41:12.356208+00,2,0,,99,2026-07-28 15:36:00+00,2026-07-28 08:36:00,t
41,11,Evans-01,,,,,,,,97,DL & JJ FARMS - GRANT,9285,14,RED,f,2025,48,,48,StartingInventoryImport,Current Inventory Baseline,Current Inventory Baseline,Current inventory baseline imported from Current Inventory Baseline; Crop year 2025; status -; Crop QC room Evans-01; Compu-Tech room Evanca01; mapped to master room EVANS-1.,,,,,,,,,7:48:2026-07-23 22:31:00+00:f:,2026-06-18 00:00:00+00,2026-06-17 17:00:00,2026-06-19 04:16:37.582604+00,1,0,,99,2026-07-28 15:36:00+00,2026-07-28 08:36:00,t
60,11,Evans-01,,,,,,,,97,DL & JJ FARMS - GRANT,9285,14,RED,f,,-48,48,0,BinsRun,Bins Run,BinsRun,Room Cleared,,,,,,,,,7:48:2026-07-23 22:31:00+00:f:,2026-07-23 22:31:00+00,2026-07-23 15:31:00,2026-07-23 15:31:44.062167+00,2,0,,99,2026-07-28 15:36:00+00,2026-07-28 08:36:00,t
42,11,Evans-01,,,,,,,,87,DENNIS BURKS - PESCIALLO,9490,14,RED,f,2025,13,,13,StartingInventoryImport,Current Inventory Baseline,Current Inventory Baseline,Current inventory baseline imported from Current Inventory Baseline; Crop year 2025; status -; Crop QC room Evans-01; Compu-Tech room Evanca01; mapped to master room EVANS-1.,,,,,,,,,6:13:2026-07-23 22:31:00+00:f:,2026-06-18 00:00:00+00,2026-06-17 17:00:00,2026-06-19 04:16:37.582604+00,1,0,,99,2026-07-28 15:36:00+00,2026-07-28 08:36:00,t
59,11,Evans-01,,,,,,,,87,DENNIS BURKS - PESCIALLO,9490,14,RED,f,,-13,13,0,BinsRun,Bins Run,BinsRun,Room Cleared,,,,,,,,,6:13:2026-07-23 22:31:00+00:f:,2026-07-23 22:31:00+00,2026-07-23 15:31:00,2026-07-23 15:31:33.349225+00,2,0,,99,2026-07-28 15:36:00+00,2026-07-28 08:36:00,t
43,11,Evans-01,,,,,,,,240,MFR - NORRIS,9570,14,RED,f,2025,101,,101,StartingInventoryImport,Current Inventory Baseline,Current Inventory Baseline,Current inventory baseline imported from Current Inventory Baseline; Crop year 2025; status -; Crop QC room Evans-01; Compu-Tech room Evanca01; mapped to master room EVANS-1.,,,,,,,,,8:101:2026-07-23 22:31:00+00:f:,2026-06-18 00:00:00+00,2026-06-17 17:00:00,2026-06-19 04:16:37.582604+00,1,0,,99,2026-07-28 15:36:00+00,2026-07-28 08:36:00,t
61,11,Evans-01,,,,,,,,240,MFR - NORRIS,9570,14,RED,f,,-101,101,0,BinsRun,Bins Run,BinsRun,Room Cleared,,,,,,,,,8:101:2026-07-23 22:31:00+00:f:,2026-07-23 22:31:00+00,2026-07-23 15:31:00,2026-07-23 15:31:51.585122+00,2,0,,99,2026-07-28 15:36:00+00,2026-07-28 08:36:00,t
8,11,Evans-01,28,LS020,2026-06-16 18:35:00+00,2026-06-16 11:35:00,2025,f,t,251,MFR - SONBAY,9660,14,RED,f,,1039,,1039,ReceiptAdd,Receiving inventory added,Receiving inventory added,Receipt LS020 added 1039 bins to EVANS-1.,,,,,,,,,,2026-06-16 18:35:00+00,2026-06-16 11:35:00,2026-06-16 18:40:57.57965+00,3,0,,99,2026-07-28 15:36:00+00,2026-07-28 08:36:00,t
44,11,Evans-01,,,,,,,,251,MFR - SONBAY,9660,14,RED,f,2025,1039,,1039,StartingInventoryImport,Current Inventory Baseline,Current Inventory Baseline,Current inventory baseline imported from Current Inventory Baseline; Crop year 2025; status -; Crop QC room Evans-01; Compu-Tech room Evanca01; mapped to master room EVANS-1.,,,,,,,,,9:1039:2026-07-23 22:31:00+00:f:,2026-06-18 00:00:00+00,2026-06-17 17:00:00,2026-06-19 04:16:37.582604+00,1,0,,99,2026-07-28 15:36:00+00,2026-07-28 08:36:00,t
62,11,Evans-01,,,,,,,,251,MFR - SONBAY,9660,14,RED,f,,-1039,1039,0,BinsRun,Bins Run,BinsRun,Room Cleared,,,,,,,,,9:1039:2026-07-23 22:31:00+00:f:,2026-07-23 22:31:00+00,2026-07-23 15:31:00,2026-07-23 15:32:07.218233+00,2,0,,99,2026-07-28 15:36:00+00,2026-07-28 08:36:00,t
14,22,Evans-12,7,DS005,2026-06-09 19:41:00+00,2026-06-09 12:41:00,2025,f,f,216,MFR - FUJI ORCH-BLK C,1030,1,FUJI,f,,0,25,25,ReceiptEdit,Admin receipt correction,Admin receipt correction,Admin corrected receipt DS005; current bins set to 25.,,,,,,,,,,2026-06-17 20:32:19.909827+00,2026-06-17 13:32:19.909827,2026-06-17 20:32:19.909837+00,2,0,,99,2026-07-28 15:36:00+00,2026-07-28 08:36:00,t
28,22,Evans-12,21,LS013,2026-06-12 18:23:00+00,2026-06-12 11:23:00,2025,f,f,216,MFR - FUJI ORCH-BLK C,1030,1,FUJI,f,,0,534,534,ReceiptEdit,Admin receipt correction,Admin receipt correction,Admin corrected receipt LS013; current bins set to 534.,,,,,,,,,,2026-06-17 20:37:35.347889+00,2026-06-17 13:37:35.347889,2026-06-17 20:37:35.3479+00,2,0,,99,2026-07-28 15:36:00+00,2026-07-28 08:36:00,t
37,22,Evans-12,,,,,,,,216,MFR - FUJI ORCH-BLK C,1030,1,FUJI,f,2025,263,,263,StartingInventoryImport,Current Inventory Baseline,Current Inventory Baseline,Current inventory baseline imported from Current Inventory Baseline; Crop year 2025; status -; Crop QC room Evans-12; Compu-Tech room evanca12; mapped to master room EVANS-12.,,,,,,,,,15:263:2026-07-23 22:35:00+00:f:,2026-06-18 00:00:00+00,2026-06-17 17:00:00,2026-06-19 04:16:37.582604+00,1,0,,99,2026-07-28 15:36:00+00,2026-07-28 08:36:00,t
68,22,Evans-12,,,,,,,,216,MFR - FUJI ORCH-BLK C,1030,1,FUJI,f,,-263,263,0,BinsRun,Bins Run,BinsRun,Room Cleared,,,,,,,,,15:263:2026-07-23 22:35:00+00:f:,2026-07-23 22:35:00+00,2026-07-23 15:35:00,2026-07-23 15:36:05.732282+00,2,0,,99,2026-07-28 15:36:00+00,2026-07-28 08:36:00,t
12,22,Evans-12,5,DS003,2026-06-09 17:27:00+00,2026-06-09 10:27:00,2025,f,f,130,GA Orchard,1560,1,FUJI,f,,0,118,118,ReceiptEdit,Admin receipt correction,Admin receipt correction,Admin corrected receipt DS003; current bins set to 118.,,,,,,,,,,2026-06-17 20:28:47.93178+00,2026-06-17 13:28:47.93178,2026-06-17 20:28:47.931788+00,2,0,,99,2026-07-28 15:36:00+00,2026-07-28 08:36:00,t
30,22,Evans-12,22,LS014,2026-06-12 19:17:00+00,2026-06-12 12:17:00,2025,f,f,130,GA Orchard,1560,1,FUJI,f,,0,118,118,ReceiptEdit,Admin receipt correction,Admin receipt correction,Admin corrected receipt LS014; current bins set to 118.,,,,,,,,,,2026-06-17 21:43:34.767138+00,2026-06-17 14:43:34.767138,2026-06-17 21:43:34.767173+00,2,0,,99,2026-07-28 15:36:00+00,2026-07-28 08:36:00,t
35,22,Evans-12,,,,,,,,130,GA Orchard,1560,1,FUJI,f,2025,118,,118,StartingInventoryImport,Current Inventory Baseline,Current Inventory Baseline,Current inventory baseline imported from Current Inventory Baseline; Crop year 2025; status -; Crop QC room Evans-12; Compu-Tech room evanca12; mapped to master room EVANS-12.,,,,,,,,,2:56:2026-07-10 22:57:00+00:f:,2026-06-18 00:00:00+00,2026-06-17 17:00:00,2026-06-19 04:16:37.582604+00,1,0,,99,2026-07-28 15:36:00+00,2026-07-28 08:36:00,t
55,22,Evans-12,,,,,,,,130,GA Orchard,1560,1,FUJI,f,,-56,118,62,BinsRun,Bins Run,BinsRun,,,,,,,,,,2:56:2026-07-10 22:57:00+00:f:;13:62:2026-07-23 22:35:00+00:f:,2026-07-10 22:57:00+00,2026-07-10 15:57:00,2026-07-10 22:57:47.211916+00,2,0,,99,2026-07-28 15:36:00+00,2026-07-28 08:36:00,t
66,22,Evans-12,,,,,,,,130,GA Orchard,1560,1,FUJI,f,,-62,62,0,BinsRun,Bins Run,BinsRun,Room Cleared,,,,,,,,,13:62:2026-07-23 22:35:00+00:f:,2026-07-23 22:35:00+00,2026-07-23 15:35:00,2026-07-23 15:35:35.291825+00,2,0,,99,2026-07-28 15:36:00+00,2026-07-28 08:36:00,t
9,22,Evans-12,24,LS016,2026-06-12 22:49:00+00,2026-06-12 15:49:00,2025,f,f,137,Gronk Orchard NON-CHILEAN,1570,1,FUJI,f,,0,819,819,ReceiptEdit,Admin receipt correction,Admin receipt correction,Admin corrected receipt LS016; current bins set to 819.,,,,,,,,,,2026-06-17 20:22:50.423541+00,2026-06-17 13:22:50.423541,2026-06-17 20:22:50.424336+00,2,0,,99,2026-07-28 15:36:00+00,2026-07-28 08:36:00,t
13,22,Evans-12,6,DS004,2026-06-09 18:56:00+00,2026-06-09 11:56:00,2025,f,f,137,Gronk Orchard NON-CHILEAN,1570,1,FUJI,f,,0,819,819,ReceiptEdit,Admin receipt correction,Admin receipt correction,Admin corrected receipt DS004; current bins set to 819.,,,,,,,,,,2026-06-17 20:29:09.909823+00,2026-06-17 13:29:09.909823,2026-06-17 20:29:09.909831+00,2,0,,99,2026-07-28 15:36:00+00,2026-07-28 08:36:00,t
36,22,Evans-12,,,,,,,,137,Gronk Orchard NON-CHILEAN,1570,1,FUJI,f,2025,819,,819,StartingInventoryImport,Current Inventory Baseline,Current Inventory Baseline,Current inventory baseline imported from Current Inventory Baseline; Crop year 2025; status -; Crop QC room Evans-12; Compu-Tech room evanca12; mapped to master room EVANS-12.,,,,,,,,,1:152:2026-07-10 22:56:00+00:f:,2026-06-18 00:00:00+00,2026-06-17 17:00:00,2026-06-19 04:16:37.582604+00,1,0,,99,2026-07-28 15:36:00+00,2026-07-28 08:36:00,t
54,22,Evans-12,,,,,,,,137,Gronk Orchard NON-CHILEAN,1570,1,FUJI,f,,-152,819,667,BinsRun,Bins Run,BinsRun,,,,,,,,,,1:152:2026-07-10 22:56:00+00:f:;14:667:2026-07-23 22:35:00+00:f:,2026-07-10 22:56:00+00,2026-07-10 15:56:00,2026-07-10 22:57:22.867823+00,2,0,,99,2026-07-28 15:36:00+00,2026-07-28 08:36:00,t
67,22,Evans-12,,,,,,,,137,Gronk Orchard NON-CHILEAN,1570,1,FUJI,f,,-667,667,0,BinsRun,Bins Run,BinsRun,Room Cleared,,,,,,,,,14:667:2026-07-23 22:35:00+00:f:,2026-07-23 22:35:00+00,2026-07-23 15:35:00,2026-07-23 15:35:43.49607+00,2,0,,99,2026-07-28 15:36:00+00,2026-07-28 08:36:00,t
15,22,Evans-12,8,DS006,2026-06-09 20:41:00+00,2026-06-09 13:41:00,2025,f,f,97,DL & JJ FARMS - GRANT,9285,1,FUJI,f,,0,96,96,ReceiptEdit,Admin receipt correction,Admin receipt correction,Admin corrected receipt DS006; current bins set to 96.,,,,,,,,,,2026-06-17 20:32:46.864784+00,2026-06-17 13:32:46.864784,2026-06-17 20:32:46.864801+00,2,0,,99,2026-07-28 15:36:00+00,2026-07-28 08:36:00,t
27,22,Evans-12,19,LS011,2026-06-12 16:30:00+00,2026-06-12 09:30:00,2025,f,f,391,W&H L&E AZTEC,9331,1,FUJI,f,,0,6,6,ReceiptEdit,Admin receipt correction,Admin receipt correction,Admin corrected receipt LS011; current bins set to 6.,,,,,,,,,,2026-06-17 20:37:17.707686+00,2026-06-17 13:37:17.707686,2026-06-17 20:37:17.707696+00,2,0,,99,2026-07-28 15:36:00+00,2026-07-28 08:36:00,t
29,22,Evans-12,23,LS015,2026-06-12 21:11:00+00,2026-06-12 14:11:00,2025,f,f,241,MFR - POTTER/BRADFIELD,9370,1,FUJI,f,,0,14,14,ReceiptEdit,Admin receipt correction,Admin receipt correction,Admin corrected receipt LS015; current bins set to 14.,,,,,,,,,,2026-06-17 20:38:04.982019+00,2026-06-17 13:38:04.982019,2026-06-17 20:38:04.982028+00,2,0,,99,2026-07-28 15:36:00+00,2026-07-28 08:36:00,t
31,22,Evans-12,20,LS012,2026-06-12 17:26:00+00,2026-06-12 10:26:00,2025,f,f,389,W&H - MCCLELLAN FLLC YOUNG,9530,1,FUJI,f,,0,23,23,ReceiptEdit,Admin receipt correction,Admin receipt correction,Admin corrected receipt LS012; current bins set to 23.,,,,,,,,,,2026-06-17 21:44:54.965766+00,2026-06-17 14:44:54.965766,2026-06-17 21:44:54.965775+00,2,0,,99,2026-07-28 15:36:00+00,2026-07-28 08:36:00,t
7,15,Evans-5,9,LS001,2026-06-10 15:08:00+00,2026-06-10 08:08:00,2025,f,f,,MFR - FUJI BLK E,1050,13,PINK,f,,-52,52,0,Depletion,Bins sent to line,Bins sent to line,EVANCA05 to Packing Line,6,9,52,2026-06-15 22:42:00+00,f,,,,,2026-06-15 22:42:00+00,2026-06-15 15:42:00,2026-06-15 22:42:10.112306+00,2,0,,99,2026-07-28 15:36:00+00,2026-07-28 08:36:00,t
16,15,Evans-5,9,LS001,2026-06-10 15:08:00+00,2026-06-10 08:08:00,2025,f,f,219,MFR - FUJI ORCH-BLK E,1050,13,PINK,f,,52,0,52,ReceiptEdit,Admin receipt correction,Admin receipt correction,Admin corrected receipt LS001; current bins set to 52.,,,,,,,,,,2026-06-17 20:33:07.147864+00,2026-06-17 13:33:07.147864,2026-06-17 20:33:07.147873+00,2,0,,99,2026-07-28 15:36:00+00,2026-07-28 08:36:00,t
32,15,Evans-5,,,,,,,,219,MFR - FUJI ORCH-BLK E,1050,13,PINK,f,2025,52,,52,StartingInventoryImport,Current Inventory Baseline,Current Inventory Baseline,Current inventory baseline imported from Current Inventory Baseline; Crop year 2025; status -; Crop QC room Evans-5; Compu-Tech room evanca05; mapped to master room EVANS-5.,,,,,,,,,11:52:2026-07-23 22:32:00+00:f:,2026-06-18 00:00:00+00,2026-06-17 17:00:00,2026-06-19 04:16:37.582604+00,1,0,,99,2026-07-28 15:36:00+00,2026-07-28 08:36:00,t
64,15,Evans-5,,,,,,,,219,MFR - FUJI ORCH-BLK E,1050,13,PINK,f,,-52,52,0,BinsRun,Bins Run,BinsRun,Room Cleared,,,,,,,,,11:52:2026-07-23 22:32:00+00:f:,2026-07-23 22:32:00+00,2026-07-23 15:32:00,2026-07-23 15:32:54.232355+00,2,0,,99,2026-07-28 15:36:00+00,2026-07-28 08:36:00,t
2,15,Evans-5,14,LS006,2026-06-11 17:56:00+00,2026-06-11 10:56:00,2025,f,f,,GA Orchard,1560,13,PINK,f,,-78,78,0,Depletion,Bins sent to line,Bins sent to line,EVANCA05 to Line,1,14,78,2026-06-15 22:37:00+00,f,,,,,2026-06-15 22:37:00+00,2026-06-15 15:37:00,2026-06-15 22:40:11.566447+00,2,0,,99,2026-07-28 15:36:00+00,2026-07-28 08:36:00,t
3,15,Evans-5,13,LS005,2026-06-11 17:37:00+00,2026-06-11 10:37:00,2025,f,f,,GA Orchard,1560,13,PINK,f,,-78,78,0,Depletion,Bins sent to line,Bins sent to line,EVANCA05 to Packing Line,2,13,78,2026-06-15 22:40:00+00,f,,,,,2026-06-15 22:40:00+00,2026-06-15 15:40:00,2026-06-15 22:41:29.80892+00,2,0,,99,2026-07-28 15:36:00+00,2026-07-28 08:36:00,t
4,15,Evans-5,12,LS004,2026-06-11 17:19:00+00,2026-06-11 10:19:00,2025,f,f,,GA Orchard,1560,13,PINK,f,,-78,78,0,Depletion,Bins sent to line,Bins sent to line,EVANCA05 to Packing Line,3,12,78,2026-06-15 22:41:00+00,f,,,,,2026-06-15 22:41:00+00,2026-06-15 15:41:00,2026-06-15 22:41:39.557185+00,2,0,,99,2026-07-28 15:36:00+00,2026-07-28 08:36:00,t
5,15,Evans-5,11,LS003,2026-06-11 17:07:00+00,2026-06-11 10:07:00,2025,f,f,,GA Orchard,1560,13,PINK,f,,-78,78,0,Depletion,Bins sent to line,Bins sent to line,EVANCA05 to Packing Line,4,11,78,2026-06-15 22:41:00+00,f,,,,,2026-06-15 22:41:00+00,2026-06-15 15:41:00,2026-06-15 22:41:50.613869+00,2,0,,99,2026-07-28 15:36:00+00,2026-07-28 08:36:00,t
6,15,Evans-5,10,LS002,2026-06-11 16:51:00+00,2026-06-11 09:51:00,2025,f,f,,GA Orchard,1560,13,PINK,f,,-78,78,0,Depletion,Bins sent to line,Bins sent to line,EVANCA05 to Packing Line,5,10,78,2026-06-15 22:41:00+00,f,,,,,2026-06-15 22:41:00+00,2026-06-15 15:41:00,2026-06-15 22:42:00.573162+00,2,0,,99,2026-07-28 15:36:00+00,2026-07-28 08:36:00,t
17,15,Evans-5,10,LS002,2026-06-11 16:51:00+00,2026-06-11 09:51:00,2025,f,f,130,GA Orchard,1560,13,PINK,f,,78,0,78,ReceiptEdit,Admin receipt correction,Admin receipt correction,Admin corrected receipt LS002; current bins set to 78.,,,,,,,,,,2026-06-17 20:33:33.70739+00,2026-06-17 13:33:33.70739,2026-06-17 20:33:33.707398+00,2,0,,99,2026-07-28 15:36:00+00,2026-07-28 08:36:00,t
18,15,Evans-5,11,LS003,2026-06-11 17:07:00+00,2026-06-11 10:07:00,2025,f,f,130,GA Orchard,1560,13,PINK,f,,78,0,78,ReceiptEdit,Admin receipt correction,Admin receipt correction,Admin corrected receipt LS003; current bins set to 78.,,,,,,,,,,2026-06-17 20:33:47.293724+00,2026-06-17 13:33:47.293724,2026-06-17 20:33:47.293734+00,2,0,,99,2026-07-28 15:36:00+00,2026-07-28 08:36:00,t
19,15,Evans-5,12,LS004,2026-06-11 17:19:00+00,2026-06-11 10:19:00,2025,f,f,130,GA Orchard,1560,13,PINK,f,,78,0,78,ReceiptEdit,Admin receipt correction,Admin receipt correction,Admin corrected receipt LS004; current bins set to 78.,,,,,,,,,,2026-06-17 20:33:59.234391+00,2026-06-17 13:33:59.234391,2026-06-17 20:33:59.234401+00,2,0,,99,2026-07-28 15:36:00+00,2026-07-28 08:36:00,t
20,15,Evans-5,13,LS005,2026-06-11 17:37:00+00,2026-06-11 10:37:00,2025,f,f,130,GA Orchard,1560,13,PINK,f,,78,0,78,ReceiptEdit,Admin receipt correction,Admin receipt correction,Admin corrected receipt LS005; current bins set to 78.,,,,,,,,,,2026-06-17 20:34:14.589063+00,2026-06-17 13:34:14.589063,2026-06-17 20:34:14.589071+00,2,0,,99,2026-07-28 15:36:00+00,2026-07-28 08:36:00,t
21,15,Evans-5,14,LS006,2026-06-11 17:56:00+00,2026-06-11 10:56:00,2025,f,f,130,GA Orchard,1560,13,PINK,f,,78,0,78,ReceiptEdit,Admin receipt correction,Admin receipt correction,Admin corrected receipt LS006; current bins set to 78.,,,,,,,,,,2026-06-17 20:34:26.894879+00,2026-06-17 13:34:26.894879,2026-06-17 20:34:26.894887+00,2,0,,99,2026-07-28 15:36:00+00,2026-07-28 08:36:00,t
