"category_number","category","recommended_treatment","correction_target","adjustment_id","room_id","room","receipt_id","receipt_number","receipt_received_pacific","receipt_crop_year","receipt_is_test","receipt_is_deleted","grower","grower_lot","variety","organic","adjustment_crop_year","quantity","old_bin_count","new_bin_count","transaction_type","source","reason","bins_run_links","room_depletion_id","depletion_receipt_id","bins_depleted","room_transfer_id","actual_run_id","actual_run_revision_id","created_at","adjustment_at","adjustment_pacific","boundary_receipt_id","boundary_pacific","before_boundary"
"2","Valid prior-season history already netting to zero and requiring no change","Preserve unchanged.","no","13","22","Evans-12","6","DS004","2026-06-09 11:56:00","2025","f","f","Gronk Orchard NON-CHILEAN","1570","FUJI","f","","0","819","819","ReceiptEdit","Admin receipt correction","Admin receipt correction","","","","","","","","2026-06-17 20:29:09.909831+00","2026-06-17 20:29:09.909823+00","2026-06-17 13:29:09.909823","99","2026-07-28 08:36:00","t"
"2","Valid prior-season history already netting to zero and requiring no change","Preserve unchanged.","no","14","22","Evans-12","7","DS005","2026-06-09 12:41:00","2025","f","f","MFR - FUJI ORCH-BLK C","1030","FUJI","f","","0","25","25","ReceiptEdit","Admin receipt correction","Admin receipt correction","","","","","","","","2026-06-17 20:32:19.909837+00","2026-06-17 20:32:19.909827+00","2026-06-17 13:32:19.909827","99","2026-07-28 08:36:00","t"
"2","Valid prior-season history already netting to zero and requiring no change","Preserve unchanged.","no","15","22","Evans-12","8","DS006","2026-06-09 13:41:00","2025","f","f","DL & JJ FARMS - GRANT","9285","FUJI","f","","0","96","96","ReceiptEdit","Admin receipt correction","Admin receipt correction","","","","","","","","2026-06-17 20:32:46.864801+00","2026-06-17 20:32:46.864784+00","2026-06-17 13:32:46.864784","99","2026-07-28 08:36:00","t"
"2","Valid prior-season history already netting to zero and requiring no change","Preserve unchanged.","no","16","15","Evans-5","9","LS001","2026-06-10 08:08:00","2025","f","f","MFR - FUJI ORCH-BLK E","1050","PINK","f","","52","0","52","ReceiptEdit","Admin receipt correction","Admin receipt correction","","","","","","","","2026-06-17 20:33:07.147873+00","2026-06-17 20:33:07.147864+00","2026-06-17 13:33:07.147864","99","2026-07-28 08:36:00","t"
"2","Valid prior-season history already netting to zero and requiring no change","Preserve unchanged.","no","17","15","Evans-5","10","LS002","2026-06-11 09:51:00","2025","f","f","GA Orchard","1560","PINK","f","","78","0","78","ReceiptEdit","Admin receipt correction","Admin receipt correction","","","","","","","","2026-06-17 20:33:33.707398+00","2026-06-17 20:33:33.70739+00","2026-06-17 13:33:33.70739","99","2026-07-28 08:36:00","t"
"2","Valid prior-season history already netting to zero and requiring no change","Preserve unchanged.","no","18","15","Evans-5","11","LS003","2026-06-11 10:07:00","2025","f","f","GA Orchard","1560","PINK","f","","78","0","78","ReceiptEdit","Admin receipt correction","Admin receipt correction","","","","","","","","2026-06-17 20:33:47.293734+00","2026-06-17 20:33:47.293724+00","2026-06-17 13:33:47.293724","99","2026-07-28 08:36:00","t"
"2","Valid prior-season history already netting to zero and requiring no change","Preserve unchanged.","no","19","15","Evans-5","12","LS004","2026-06-11 10:19:00","2025","f","f","GA Orchard","1560","PINK","f","","78","0","78","ReceiptEdit","Admin receipt correction","Admin receipt correction","","","","","","","","2026-06-17 20:33:59.234401+00","2026-06-17 20:33:59.234391+00","2026-06-17 13:33:59.234391","99","2026-07-28 08:36:00","t"
"2","Valid prior-season history already netting to zero and requiring no change","Preserve unchanged.","no","20","15","Evans-5","13","LS005","2026-06-11 10:37:00","2025","f","f","GA Orchard","1560","PINK","f","","78","0","78","ReceiptEdit","Admin receipt correction","Admin receipt correction","","","","","","","","2026-06-17 20:34:14.589071+00","2026-06-17 20:34:14.589063+00","2026-06-17 13:34:14.589063","99","2026-07-28 08:36:00","t"
"2","Valid prior-season history already netting to zero and requiring no change","Preserve unchanged.","no","21","15","Evans-5","14","LS006","2026-06-11 10:56:00","2025","f","f","GA Orchard","1560","PINK","f","","78","0","78","ReceiptEdit","Admin receipt correction","Admin receipt correction","","","","","","","","2026-06-17 20:34:26.894887+00","2026-06-17 20:34:26.894879+00","2026-06-17 13:34:26.894879","99","2026-07-28 08:36:00","t"
"4","Invalid negative-balance data requiring direct cleanup","Restore the missing positive source quantity so the existing linked Bins Run deduction nets the lot to zero.","yes","22","7","Lamb Street 14","15","LS007","2026-06-11 13:42:00","2025","f","f","DENNIS BURKS - PESCIALLO","9490","RED","f","","0","144","144","ReceiptEdit","Admin receipt correction","Admin receipt correction","23:144:2026-07-23 22:44:00+00:f:15","","","","","","","2026-06-17 20:35:28.59181+00","2026-06-17 20:35:28.591801+00","2026-06-17 13:35:28.591801","99","2026-07-28 08:36:00","t"
"4","Invalid negative-balance data requiring direct cleanup","Restore the missing positive source quantity so the existing linked Bins Run deduction nets the lot to zero.","yes","23","7","Lamb Street 14","16","LS008","2026-06-11 14:52:00","2025","f","f","DENNIS BURKS - PESCIALLO","9490","RED","f","","0","144","144","ReceiptEdit","Admin receipt correction","Admin receipt correction","24:144:2026-07-23 22:45:00+00:f:16","","","","","","","2026-06-17 20:35:52.504581+00","2026-06-17 20:35:52.504571+00","2026-06-17 13:35:52.504571","99","2026-07-28 08:36:00","t"
"2","Valid prior-season history already netting to zero and requiring no change","Preserve unchanged.","no","24","7","Lamb Street 14","17","LS009","2026-06-11 15:18:00","2025","f","f","MFR - AICHELE","9600","RED","f","","0","101","101","ReceiptEdit","Admin receipt correction","Admin receipt correction","","","","","","","","2026-06-17 20:36:11.884354+00","2026-06-17 20:36:11.884344+00","2026-06-17 13:36:11.884344","99","2026-07-28 08:36:00","t"
"4","Invalid negative-balance data requiring direct cleanup","Restore the missing positive source quantity so the existing linked Bins Run deduction nets the lot to zero.","yes","25","7","Lamb Street 14","17","LS009","2026-06-11 15:18:00","2025","f","f","MFR - SONBAY","9660","RED","f","","0","101","101","ReceiptEdit","Admin receipt correction","Admin receipt correction","25:101:2026-07-23 22:45:00+00:f:17","","","","","","","2026-06-17 20:36:35.064725+00","2026-06-17 20:36:35.064715+00","2026-06-17 13:36:35.064715","99","2026-07-28 08:36:00","t"
"4","Invalid negative-balance data requiring direct cleanup","Restore the missing positive source quantity so the existing linked Bins Run deduction nets the lot to zero.","yes","26","7","Lamb Street 14","18","LS010","2026-06-11 15:43:00","2025","f","f","MFR - SONBAY","9660","RED","f","","0","101","101","ReceiptEdit","Admin receipt correction","Admin receipt correction","26:101:2026-07-23 22:45:00+00:f:18","","","","","","","2026-06-17 20:36:51.518996+00","2026-06-17 20:36:51.518988+00","2026-06-17 13:36:51.518988","99","2026-07-28 08:36:00","t"
"2","Valid prior-season history already netting to zero and requiring no change","Preserve unchanged.","no","27","22","Evans-12","19","LS011","2026-06-12 09:30:00","2025","f","f","W&H L&E AZTEC","9331","FUJI","f","","0","6","6","ReceiptEdit","Admin receipt correction","Admin receipt correction","","","","","","","","2026-06-17 20:37:17.707696+00","2026-06-17 20:37:17.707686+00","2026-06-17 13:37:17.707686","99","2026-07-28 08:36:00","t"
"2","Valid prior-season history already netting to zero and requiring no change","Preserve unchanged.","no","28","22","Evans-12","21","LS013","2026-06-12 11:23:00","2025","f","f","MFR - FUJI ORCH-BLK C","1030","FUJI","f","","0","534","534","ReceiptEdit","Admin receipt correction","Admin receipt correction","","","","","","","","2026-06-17 20:37:35.3479+00","2026-06-17 20:37:35.347889+00","2026-06-17 13:37:35.347889","99","2026-07-28 08:36:00","t"
"2","Valid prior-season history already netting to zero and requiring no change","Preserve unchanged.","no","29","22","Evans-12","23","LS015","2026-06-12 14:11:00","2025","f","f","MFR - POTTER/BRADFIELD","9370","FUJI","f","","0","14","14","ReceiptEdit","Admin receipt correction","Admin receipt correction","","","","","","","","2026-06-17 20:38:04.982028+00","2026-06-17 20:38:04.982019+00","2026-06-17 13:38:04.982019","99","2026-07-28 08:36:00","t"
"2","Valid prior-season history already netting to zero and requiring no change","Preserve unchanged.","no","30","22","Evans-12","22","LS014","2026-06-12 12:17:00","2025","f","f","GA Orchard","1560","FUJI","f","","0","118","118","ReceiptEdit","Admin receipt correction","Admin receipt correction","","","","","","","","2026-06-17 21:43:34.767173+00","2026-06-17 21:43:34.767138+00","2026-06-17 14:43:34.767138","99","2026-07-28 08:36:00","t"
"2","Valid prior-season history already netting to zero and requiring no change","Preserve unchanged.","no","31","22","Evans-12","20","LS012","2026-06-12 10:26:00","2025","f","f","W&H - MCCLELLAN FLLC YOUNG","9530","FUJI","f","","0","23","23","ReceiptEdit","Admin receipt correction","Admin receipt correction","","","","","","","","2026-06-17 21:44:54.965775+00","2026-06-17 21:44:54.965766+00","2026-06-17 14:44:54.965766","99","2026-07-28 08:36:00","t"
"2","Valid prior-season history already netting to zero and requiring no change","Preserve unchanged.","no","32","15","Evans-5","","","","","","","MFR - FUJI ORCH-BLK E","1050","PINK","f","2025","52","","52","StartingInventoryImport","Current Inventory Baseline","Current Inventory Baseline","11:52:2026-07-23 22:32:00+00:f:","","","","","","","2026-06-19 04:16:37.582604+00","2026-06-18 00:00:00+00","2026-06-17 17:00:00","99","2026-07-28 08:36:00","t"
"2","Valid prior-season history already netting to zero and requiring no change","Preserve unchanged.","no","33","15","Evans-5","","","","","","","GA Orchard","1560","PINK","f","2025","78","","78","StartingInventoryImport","Current Inventory Baseline","Current Inventory Baseline","10:78:2026-07-23 22:32:00+00:f:","","","","","","","2026-06-19 04:16:37.582604+00","2026-06-18 00:00:00+00","2026-06-17 17:00:00","99","2026-07-28 08:36:00","t"
"2","Valid prior-season history already netting to zero and requiring no change","Preserve unchanged.","no","34","15","Evans-5","","","","","","","MFR - Leibbrand","9455","PINK","f","2025","2","","2","StartingInventoryImport","Current Inventory Baseline","Current Inventory Baseline","12:2:2026-07-23 22:32:00+00:f:","","","","","","","2026-06-19 04:16:37.582604+00","2026-06-18 00:00:00+00","2026-06-17 17:00:00","99","2026-07-28 08:36:00","t"
"2","Valid prior-season history already netting to zero and requiring no change","Preserve unchanged.","no","35","22","Evans-12","","","","","","","GA Orchard","1560","FUJI","f","2025","118","","118","StartingInventoryImport","Current Inventory Baseline","Current Inventory Baseline","2:56:2026-07-10 22:57:00+00:f:","","","","","","","2026-06-19 04:16:37.582604+00","2026-06-18 00:00:00+00","2026-06-17 17:00:00","99","2026-07-28 08:36:00","t"
"2","Valid prior-season history already netting to zero and requiring no change","Preserve unchanged.","no","36","22","Evans-12","","","","","","","Gronk Orchard NON-CHILEAN","1570","FUJI","f","2025","819","","819","StartingInventoryImport","Current Inventory Baseline","Current Inventory Baseline","1:152:2026-07-10 22:56:00+00:f:","","","","","","","2026-06-19 04:16:37.582604+00","2026-06-18 00:00:00+00","2026-06-17 17:00:00","99","2026-07-28 08:36:00","t"
"2","Valid prior-season history already netting to zero and requiring no change","Preserve unchanged.","no","37","22","Evans-12","","","","","","","MFR - FUJI ORCH-BLK C","1030","FUJI","f","2025","263","","263","StartingInventoryImport","Current Inventory Baseline","Current Inventory Baseline","15:263:2026-07-23 22:35:00+00:f:","","","","","","","2026-06-19 04:16:37.582604+00","2026-06-18 00:00:00+00","2026-06-17 17:00:00","99","2026-07-28 08:36:00","t"
"2","Valid prior-season history already netting to zero and requiring no change","Preserve unchanged.","no","38","27","BM-1","","","","","","","MFR - TASH & BROWN","9510","RED","f","2025","264","","264","StartingInventoryImport","Current Inventory Baseline","Current Inventory Baseline","5:264:2026-07-23 22:30:00+00:f:","","","","","","","2026-06-19 04:16:37.582604+00","2026-06-18 00:00:00+00","2026-06-17 17:00:00","99","2026-07-28 08:36:00","t"
"2","Valid prior-season history already netting to zero and requiring no change","Preserve unchanged.","no","39","27","BM-1","","","","","","","MFR - BROWN HOME PL","9550","RED","f","2025","306","","306","StartingInventoryImport","Current Inventory Baseline","Current Inventory Baseline","3:306:2026-07-23 22:28:00+00:f:","","","","","","","2026-06-19 04:16:37.582604+00","2026-06-18 00:00:00+00","2026-06-17 17:00:00","99","2026-07-28 08:36:00","t"
"2","Valid prior-season history already netting to zero and requiring no change","Preserve unchanged.","no","40","27","BM-1","","","","","","","MFR - DOUGHERTY","9560","RED","f","2025","608","","608","StartingInventoryImport","Current Inventory Baseline","Current Inventory Baseline","4:608:2026-07-23 22:30:00+00:f:","","","","","","","2026-06-19 04:16:37.582604+00","2026-06-18 00:00:00+00","2026-06-17 17:00:00","99","2026-07-28 08:36:00","t"
"2","Valid prior-season history already netting to zero and requiring no change","Preserve unchanged.","no","41","11","Evans-01","","","","","","","DL & JJ FARMS - GRANT","9285","RED","f","2025","48","","48","StartingInventoryImport","Current Inventory Baseline","Current Inventory Baseline","7:48:2026-07-23 22:31:00+00:f:","","","","","","","2026-06-19 04:16:37.582604+00","2026-06-18 00:00:00+00","2026-06-17 17:00:00","99","2026-07-28 08:36:00","t"
"2","Valid prior-season history already netting to zero and requiring no change","Preserve unchanged.","no","42","11","Evans-01","","","","","","","DENNIS BURKS - PESCIALLO","9490","RED","f","2025","13","","13","StartingInventoryImport","Current Inventory Baseline","Current Inventory Baseline","6:13:2026-07-23 22:31:00+00:f:","","","","","","","2026-06-19 04:16:37.582604+00","2026-06-18 00:00:00+00","2026-06-17 17:00:00","99","2026-07-28 08:36:00","t"
"2","Valid prior-season history already netting to zero and requiring no change","Preserve unchanged.","no","43","11","Evans-01","","","","","","","MFR - NORRIS","9570","RED","f","2025","101","","101","StartingInventoryImport","Current Inventory Baseline","Current Inventory Baseline","8:101:2026-07-23 22:31:00+00:f:","","","","","","","2026-06-19 04:16:37.582604+00","2026-06-18 00:00:00+00","2026-06-17 17:00:00","99","2026-07-28 08:36:00","t"
"2","Valid prior-season history already netting to zero and requiring no change","Preserve unchanged.","no","44","11","Evans-01","","","","","","","MFR - SONBAY","9660","RED","f","2025","1039","","1039","StartingInventoryImport","Current Inventory Baseline","Current Inventory Baseline","9:1039:2026-07-23 22:31:00+00:f:","","","","","","","2026-06-19 04:16:37.582604+00","2026-06-18 00:00:00+00","2026-06-17 17:00:00","99","2026-07-28 08:36:00","t"
"2","Valid prior-season history already netting to zero and requiring no change","Preserve unchanged.","no","45","10","Lamb-17","","","","","","","MFR - FUJI ORCH-BLK B","1020","PINK","f","2025","559","","559","StartingInventoryImport","Current Inventory Baseline","Current Inventory Baseline","16:559:2026-07-23 22:36:00+00:f:","","","","","","","2026-06-19 04:16:37.582604+00","2026-06-18 00:00:00+00","2026-06-17 17:00:00","99","2026-07-28 08:36:00","t"
"2","Valid prior-season history already netting to zero and requiring no change","Preserve unchanged.","no","46","10","Lamb-17","","","","","","","MFR - FUJI ORCH-BLK E","1050","PINK","f","2025","1359","","1359","StartingInventoryImport","Current Inventory Baseline","Current Inventory Baseline","17:1359:2026-07-23 22:36:00+00:f:","","","","","","","2026-06-19 04:16:37.582604+00","2026-06-18 00:00:00+00","2026-06-17 17:00:00","99","2026-07-28 08:36:00","t"
"2","Valid prior-season history already netting to zero and requiring no change","Preserve unchanged.","no","47","32","BM-6","","","","","","","OK ORCHARD","1290","GSMT","f","2025","281","","281","StartingInventoryImport","Current Inventory Baseline","Current Inventory Baseline","22:281:2026-07-23 22:41:00+00:f:","","","","","","","2026-06-19 04:16:37.582604+00","2026-06-18 00:00:00+00","2026-06-17 17:00:00","99","2026-07-28 08:36:00","t"
"2","Valid prior-season history already netting to zero and requiring no change","Preserve unchanged.","no","48","32","BM-6","","","","","","","GA Orchard","1560","GSMT","f","2025","183","","183","StartingInventoryImport","Current Inventory Baseline","Current Inventory Baseline","19:183:2026-07-23 22:40:00+00:f:","","","","","","","2026-06-19 04:16:37.582604+00","2026-06-18 00:00:00+00","2026-06-17 17:00:00","99","2026-07-28 08:36:00","t"
"2","Valid prior-season history already netting to zero and requiring no change","Preserve unchanged.","no","49","32","BM-6","","","","","","","BENCH ORCHARD NON-CHILEAN","3200","GSMT","f","2025","3","","3","StartingInventoryImport","Current Inventory Baseline","Current Inventory Baseline","18:3:2026-07-23 22:40:00+00:f:","","","","","","","2026-06-19 04:16:37.582604+00","2026-06-18 00:00:00+00","2026-06-17 17:00:00","99","2026-07-28 08:36:00","t"
"2","Valid prior-season history already netting to zero and requiring no change","Preserve unchanged.","no","50","32","BM-6","","","","","","","MFR - REESE HWY BLK 1","9450","GSMT","f","2025","26","","26","StartingInventoryImport","Current Inventory Baseline","Current Inventory Baseline","20:26:2026-07-23 22:40:00+00:f:","","","","","","","2026-06-19 04:16:37.582604+00","2026-06-18 00:00:00+00","2026-06-17 17:00:00","99","2026-07-28 08:36:00","t"
"2","Valid prior-season history already netting to zero and requiring no change","Preserve unchanged.","no","51","32","BM-6","","","","","","","MFR - REESE-YELLOWJACK","9750","GSMT","f","2025","21","","21","StartingInventoryImport","Current Inventory Baseline","Current Inventory Baseline","21:21:2026-07-23 22:41:00+00:f:","","","","","","","2026-06-19 04:16:37.582604+00","2026-06-18 00:00:00+00","2026-06-17 17:00:00","99","2026-07-28 08:36:00","t"
"2","Valid prior-season history already netting to zero and requiring no change","Preserve unchanged.","no","53","7","Lamb Street 14","53","108832","2026-07-01 04:43:00","2025","f","f","OMAK AIRPORT-STAYMAN","1127","HONY","f","2025","36","","36","ReceiptAdd","Receiving inventory added","Receiving inventory added","27:36:2026-07-23 22:45:00+00:f:53","","","","","","","2026-07-01 19:38:28.761368+00","2026-07-01 11:43:00+00","2026-07-01 04:43:00","99","2026-07-28 08:36:00","t"
"2","Valid prior-season history already netting to zero and requiring no change","Preserve unchanged.","no","54","22","Evans-12","","","","","","","Gronk Orchard NON-CHILEAN","1570","FUJI","f","","-152","819","667","BinsRun","Bins Run","BinsRun","1:152:2026-07-10 22:56:00+00:f:;14:667:2026-07-23 22:35:00+00:f:","","","","","","","2026-07-10 22:57:22.867823+00","2026-07-10 22:56:00+00","2026-07-10 15:56:00","99","2026-07-28 08:36:00","t"
"2","Valid prior-season history already netting to zero and requiring no change","Preserve unchanged.","no","55","22","Evans-12","","","","","","","GA Orchard","1560","FUJI","f","","-56","118","62","BinsRun","Bins Run","BinsRun","2:56:2026-07-10 22:57:00+00:f:;13:62:2026-07-23 22:35:00+00:f:","","","","","","","2026-07-10 22:57:47.211916+00","2026-07-10 22:57:00+00","2026-07-10 15:57:00","99","2026-07-28 08:36:00","t"
"2","Valid prior-season history already netting to zero and requiring no change","Preserve unchanged.","no","56","27","BM-1","","","","","","","MFR - BROWN HOME PL","9550","RED","f","","-306","306","0","BinsRun","Bins Run","BinsRun","3:306:2026-07-23 22:28:00+00:f:","","","","","","","2026-07-23 15:29:01.308392+00","2026-07-23 22:28:00+00","2026-07-23 15:28:00","99","2026-07-28 08:36:00","t"
"2","Valid prior-season history already netting to zero and requiring no change","Preserve unchanged.","no","57","27","BM-1","","","","","","","MFR - DOUGHERTY","9560","RED","f","","-608","608","0","BinsRun","Bins Run","BinsRun","4:608:2026-07-23 22:30:00+00:f:","","","","","","","2026-07-23 15:30:49.088701+00","2026-07-23 22:30:00+00","2026-07-23 15:30:00","99","2026-07-28 08:36:00","t"
"2","Valid prior-season history already netting to zero and requiring no change","Preserve unchanged.","no","58","27","BM-1","","","","","","","MFR - TASH & BROWN","9510","RED","f","","-264","264","0","BinsRun","Bins Run","BinsRun","5:264:2026-07-23 22:30:00+00:f:","","","","","","","2026-07-23 15:31:05.798874+00","2026-07-23 22:30:00+00","2026-07-23 15:30:00","99","2026-07-28 08:36:00","t"
"2","Valid prior-season history already netting to zero and requiring no change","Preserve unchanged.","no","59","11","Evans-01","","","","","","","DENNIS BURKS - PESCIALLO","9490","RED","f","","-13","13","0","BinsRun","Bins Run","BinsRun","6:13:2026-07-23 22:31:00+00:f:","","","","","","","2026-07-23 15:31:33.349225+00","2026-07-23 22:31:00+00","2026-07-23 15:31:00","99","2026-07-28 08:36:00","t"
"2","Valid prior-season history already netting to zero and requiring no change","Preserve unchanged.","no","60","11","Evans-01","","","","","","","DL & JJ FARMS - GRANT","9285","RED","f","","-48","48","0","BinsRun","Bins Run","BinsRun","7:48:2026-07-23 22:31:00+00:f:","","","","","","","2026-07-23 15:31:44.062167+00","2026-07-23 22:31:00+00","2026-07-23 15:31:00","99","2026-07-28 08:36:00","t"
"2","Valid prior-season history already netting to zero and requiring no change","Preserve unchanged.","no","61","11","Evans-01","","","","","","","MFR - NORRIS","9570","RED","f","","-101","101","0","BinsRun","Bins Run","BinsRun","8:101:2026-07-23 22:31:00+00:f:","","","","","","","2026-07-23 15:31:51.585122+00","2026-07-23 22:31:00+00","2026-07-23 15:31:00","99","2026-07-28 08:36:00","t"
"2","Valid prior-season history already netting to zero and requiring no change","Preserve unchanged.","no","62","11","Evans-01","","","","","","","MFR - SONBAY","9660","RED","f","","-1039","1039","0","BinsRun","Bins Run","BinsRun","9:1039:2026-07-23 22:31:00+00:f:","","","","","","","2026-07-23 15:32:07.218233+00","2026-07-23 22:31:00+00","2026-07-23 15:31:00","99","2026-07-28 08:36:00","t"
"2","Valid prior-season history already netting to zero and requiring no change","Preserve unchanged.","no","63","15","Evans-5","","","","","","","GA Orchard","1560","PINK","f","","-78","78","0","BinsRun","Bins Run","BinsRun","10:78:2026-07-23 22:32:00+00:f:","","","","","","","2026-07-23 15:32:46.743268+00","2026-07-23 22:32:00+00","2026-07-23 15:32:00","99","2026-07-28 08:36:00","t"
"2","Valid prior-season history already netting to zero and requiring no change","Preserve unchanged.","no","64","15","Evans-5","","","","","","","MFR - FUJI ORCH-BLK E","1050","PINK","f","","-52","52","0","BinsRun","Bins Run","BinsRun","11:52:2026-07-23 22:32:00+00:f:","","","","","","","2026-07-23 15:32:54.232355+00","2026-07-23 22:32:00+00","2026-07-23 15:32:00","99","2026-07-28 08:36:00","t"
"2","Valid prior-season history already netting to zero and requiring no change","Preserve unchanged.","no","65","15","Evans-5","","","","","","","MFR - Leibbrand","9455","PINK","f","","-2","2","0","BinsRun","Bins Run","BinsRun","12:2:2026-07-23 22:32:00+00:f:","","","","","","","2026-07-23 15:32:59.952316+00","2026-07-23 22:32:00+00","2026-07-23 15:32:00","99","2026-07-28 08:36:00","t"
"2","Valid prior-season history already netting to zero and requiring no change","Preserve unchanged.","no","66","22","Evans-12","","","","","","","GA Orchard","1560","FUJI","f","","-62","62","0","BinsRun","Bins Run","BinsRun","13:62:2026-07-23 22:35:00+00:f:","","","","","","","2026-07-23 15:35:35.291825+00","2026-07-23 22:35:00+00","2026-07-23 15:35:00","99","2026-07-28 08:36:00","t"
